farm_id,region,soil_type,crop_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,recommended_irrigation_mm,sowing_date,harvest_date,crop_growth_days,NDVI_index
IND00001,Gujarat,Alluvial,Rice,44.9,7.3,27.3,206.9,57.5,9.2,11-12-2024,07-04-2025,117,0.69
IND00002,Telangana,Red,Maize,42.8,7.4,36.9,99.4,64.9,0,16-05-2024,01-10-2024,138,0.56
IND00003,Tamil Nadu,Laterite,Rice,26.4,6.1,27,78.3,54.2,12.3,09-08-2024,08-12-2024,121,0.88
IND00004,Madhya Pradesh,Red,Groundnut,15.7,6.9,33.2,165.3,85.7,35.1,13-08-2024,15-01-2025,155,0.54
IND00005,Kerala,Laterite,Rice,12.1,6.1,21.7,111.8,55.4,14.9,09-07-2024,25-11-2024,139,0.41
IND00006,Bihar,Alluvial,Pulses,30.9,6.4,18.5,270.6,86.9,0,05-01-2024,19-05-2024,135,0.39
IND00007,Haryana,Alluvial,Rice,31.3,7.7,19.4,258.8,62,8.4,24-01-2024,28-06-2024,156,0.46
IND00008,Odisha,Laterite,Groundnut,20.8,7,31,176.2,64.6,8,16-06-2024,18-11-2024,155,0.44
IND00009,Telangana,Red,Millet,19.2,6.9,38.7,282.3,83,0,07-07-2024,25-11-2024,141,0.38
IND00010,Punjab,Alluvial,Wheat,31.1,6.8,20.1,189.4,84.5,4.2,10-12-2024,16-03-2025,96,0.55
IND00011,Uttar Pradesh,Alluvial,Wheat,36.7,7.4,21.4,265.1,42.8,0,03-05-2024,09-10-2024,159,0.83
IND00012,Uttar Pradesh,Alluvial,Wheat,33,7.2,28.1,22.3,72.7,34.7,19-09-2024,04-02-2025,138,0.6
IND00013,Andhra Pradesh,Red,Maize,12.5,6.1,19.8,154.2,87.5,10,17-03-2024,06-08-2024,142,0.63
IND00014,Bihar,Alluvial,Sugarcane,30.9,6.9,36.6,277.9,67,0,17-10-2024,18-03-2025,152,0.83
IND00015,Rajasthan,Alluvial,Rice,24.1,6.6,34.2,241.6,72.7,1.3,10-02-2024,16-06-2024,127,0.72
IND00016,Tamil Nadu,Red,Groundnut,34.1,7.8,34.8,54,78.8,24.3,12-07-2024,15-10-2024,95,0.39
IND00017,Madhya Pradesh,Black,Wheat,23.7,6.2,33,160.6,42.8,21.3,08-10-2024,03-01-2025,87,0.79
IND00018,Kerala,Laterite,Rice,33.5,6.9,18.3,40,77.5,28.7,22-11-2024,11-04-2025,140,0.84
IND00019,Andhra Pradesh,Black,Cotton,36.6,6.5,28.9,46.4,43.8,25.3,13-08-2024,10-01-2025,150,0.59
IND00020,Punjab,Alluvial,Rice,34.3,7.4,31.5,228.6,89.7,25.4,16-05-2024,02-10-2024,139,0.9
IND00021,Haryana,Alluvial,Maize,20.5,7.4,33,127.1,71.7,22.6,15-07-2024,05-11-2024,113,0.73
IND00022,West Bengal,Laterite,Rice,12.3,7.5,21.3,214,65.9,7.2,25-03-2024,31-08-2024,159,0.42
IND00023,Haryana,Alluvial,Rice,42.4,6.4,27.9,272.6,66.4,0,18-05-2024,04-10-2024,139,0.71
IND00024,Haryana,Alluvial,Sugarcane,18.8,6.5,33.4,186.9,81.5,8.3,04-12-2024,24-03-2025,110,0.7
IND00025,Tamil Nadu,Black,Cotton,30.3,7.2,34.8,122.9,89.1,17.6,01-12-2024,10-05-2025,160,0.47
IND00026,Andhra Pradesh,Black,Cotton,14.6,6.2,25.2,136.2,55.5,19.5,21-09-2024,03-02-2025,135,0.66
IND00027,Uttar Pradesh,Alluvial,Pulses,16.6,6.4,20,192.3,60.9,20.7,07-09-2024,01-01-2025,116,0.84
IND00028,West Bengal,Laterite,Rice,15.9,7.2,30.1,183.9,74.3,16.5,16-09-2024,11-01-2025,117,0.86
IND00029,Kerala,Laterite,Groundnut,28.1,6.6,34,24.7,46.8,42.2,14-03-2024,18-08-2024,157,0.7
IND00030,Odisha,Alluvial,Rice,18.4,6.7,24.6,93,78.1,18.5,03-01-2024,05-05-2024,123,0.55
IND00031,Rajasthan,Alluvial,Pulses,40.9,7,26.3,101.2,78.7,9.5,20-03-2024,11-07-2024,113,0.37
IND00032,Haryana,Alluvial,Wheat,39,7.7,21.9,43.5,86.4,5.1,15-02-2024,07-06-2024,113,0.67
IND00033,West Bengal,Alluvial,Pulses,28.6,6.2,19.2,42.5,62.7,30.9,21-08-2024,19-11-2024,90,0.77
IND00034,Kerala,Laterite,Rice,42.5,7.2,34.1,80.7,61.8,6.7,22-02-2024,22-07-2024,151,0.42
IND00035,Kerala,Laterite,Rice,16.5,7.1,28.3,286.9,47,14.6,25-11-2024,29-04-2025,155,0.79
IND00036,Madhya Pradesh,Red,Millet,39.4,7.7,34.4,35.1,77.3,1.5,07-05-2024,23-09-2024,139,0.7
IND00037,Tamil Nadu,Laterite,Rice,26.3,7.6,31.5,173.5,41.9,18.2,23-01-2024,27-06-2024,156,0.37
IND00038,Karnataka,Laterite,Rice,22.2,6.3,30.4,115.9,57.9,7.2,24-11-2024,20-02-2025,88,0.77
IND00039,West Bengal,Alluvial,Wheat,28.7,6.4,40,61.6,62.8,11.3,09-11-2024,27-02-2025,110,0.63
IND00040,Rajasthan,Desert,Millet,21.1,7.5,24.6,166.7,64.9,28.7,07-06-2024,27-10-2024,142,0.5
IND00041,Kerala,Laterite,Groundnut,35.3,6.9,38.6,292.1,86.6,10.3,07-09-2024,21-01-2025,136,0.53
IND00042,Tamil Nadu,Black,Cotton,25.9,7.6,24.1,217.9,77.2,0,20-01-2024,11-06-2024,143,0.66
IND00043,West Bengal,Alluvial,Maize,30.3,6.1,25.7,67.7,67.8,38.8,10-11-2024,15-04-2025,156,0.5
IND00044,Kerala,Laterite,Rice,37.6,7.3,38.4,243.7,73.5,10.7,23-01-2024,08-06-2024,137,0.7
IND00045,Odisha,Alluvial,Maize,26.4,7.2,33.2,227.8,45.6,0,01-10-2024,15-01-2025,106,0.64
IND00046,West Bengal,Laterite,Rice,14.7,7.2,35,23.3,74.4,23.5,03-12-2024,05-04-2025,123,0.57
IND00047,Maharashtra,Black,Sugarcane,26.6,7.5,28.1,46.2,64.9,31.7,13-06-2024,09-10-2024,118,0.43
IND00048,West Bengal,Alluvial,Maize,33.9,7,25.5,254.4,77.3,3.6,20-09-2024,23-01-2025,125,0.69
IND00049,Andhra Pradesh,Red,Pulses,28.5,7.1,36,142.9,85.5,13.5,12-07-2024,12-10-2024,92,0.43
IND00050,Telangana,Red,Pulses,44.8,6.9,22.3,227.4,73.6,13.9,20-10-2024,17-03-2025,148,0.46
IND00051,Punjab,Alluvial,Pulses,37.1,6.3,18.4,130.2,72,8.6,17-12-2024,20-05-2025,154,0.63
IND00052,West Bengal,Alluvial,Pulses,17,7,20.9,86.5,74.8,12.5,25-01-2024,13-05-2024,109,0.45
IND00053,Kerala,Laterite,Rice,36.8,7.5,38.6,111.1,64.6,6.1,25-02-2024,24-05-2024,89,0.65
IND00054,Rajasthan,Alluvial,Wheat,25.3,7,21.5,34.9,40.9,32.4,15-10-2024,09-01-2025,86,0.42
IND00055,Madhya Pradesh,Black,Cotton,32.3,6.6,37.6,178.1,73.9,4.6,03-06-2024,20-10-2024,139,0.48
IND00056,Rajasthan,Desert,Millet,20.6,7.1,29.9,257.5,44.6,2.2,20-02-2024,03-06-2024,104,0.85
IND00057,Bihar,Alluvial,Pulses,19.1,7.2,39.7,231.3,64,31.3,25-01-2024,21-05-2024,117,0.88
IND00058,Odisha,Alluvial,Sugarcane,34,7.7,32.2,58,52.5,15.6,04-02-2024,06-07-2024,153,0.57
IND00059,West Bengal,Laterite,Rice,31,6,38.3,97.8,76.4,18,18-11-2024,23-03-2025,125,0.62
IND00060,Punjab,Alluvial,Wheat,13.1,6.5,26,134.2,67.5,15,01-05-2024,29-09-2024,151,0.9
IND00061,Telangana,Black,Cotton,34,6.1,32.8,43,72.5,20.7,10-01-2024,22-04-2024,103,0.69
IND00062,Gujarat,Black,Sugarcane,14.9,6.3,25.4,134.4,76.3,15.9,09-07-2024,25-10-2024,108,0.69
IND00063,Odisha,Laterite,Groundnut,17.7,7.3,24.4,202.8,87.2,0.9,19-01-2024,31-05-2024,133,0.5
IND00064,Madhya Pradesh,Black,Wheat,13.5,6.7,25.4,285.4,78.5,13.8,20-07-2024,21-10-2024,93,0.56
IND00065,Tamil Nadu,Laterite,Groundnut,18.1,6.4,27.7,214.3,43.5,31.7,10-09-2024,06-02-2025,149,0.54
IND00066,Bihar,Alluvial,Wheat,40,6.5,29.9,251.4,64.7,0,20-05-2024,26-09-2024,129,0.44
IND00067,Gujarat,Black,Sugarcane,36.5,6.7,23.5,25.7,43.9,9.2,16-01-2024,22-05-2024,127,0.42
IND00068,Karnataka,Laterite,Rice,27.7,6.3,21.8,131.3,71,18.4,22-09-2024,16-01-2025,116,0.8
IND00069,Rajasthan,Alluvial,Maize,35.8,6.9,27.3,86.7,57,4.7,10-09-2024,26-12-2024,107,0.72
IND00070,Maharashtra,Laterite,Groundnut,25.3,7.2,27.8,178.4,56.4,23.9,24-08-2024,06-12-2024,104,0.49
IND00071,Odisha,Laterite,Rice,31.9,6.8,21.3,156.6,49.6,16.3,17-06-2024,23-10-2024,128,0.5
IND00072,Telangana,Red,Maize,37.3,7.7,33.4,286.3,82.9,0,04-03-2024,25-06-2024,113,0.38
IND00073,Uttar Pradesh,Alluvial,Pulses,37.8,6.6,34.2,83.1,83.7,4.4,19-09-2024,18-12-2024,90,0.69
IND00074,Gujarat,Black,Cotton,20.7,6.9,19.5,223.9,74.1,28.8,10-04-2024,29-07-2024,110,0.9
IND00075,Punjab,Alluvial,Wheat,21.8,7.5,37.1,142,62,29.9,21-04-2024,05-09-2024,137,0.78
IND00076,Maharashtra,Black,Wheat,22.2,6.6,33.6,30.6,79,21.9,09-01-2024,18-04-2024,100,0.51
IND00077,Kerala,Laterite,Groundnut,20.7,6.7,38.3,258.9,47.6,0,21-01-2024,26-04-2024,96,0.55
IND00078,Rajasthan,Desert,Millet,44.3,6.4,38.7,169.4,83.5,21.3,11-03-2024,29-07-2024,140,0.74
IND00079,Telangana,Red,Millet,22.2,6.3,37.4,75.6,56.6,18.7,03-09-2024,07-01-2025,126,0.72
IND00080,Tamil Nadu,Laterite,Rice,16.6,6,35.9,244.2,61,1.5,20-06-2024,21-09-2024,93,0.57
IND00081,Haryana,Alluvial,Sugarcane,32.4,6.5,29.3,116.5,89.1,36.2,01-01-2024,03-06-2024,154,0.82
IND00082,Maharashtra,Laterite,Rice,34.4,6.2,35,94.1,73.1,10.2,02-07-2024,01-12-2024,152,0.43
IND00083,Haryana,Alluvial,Pulses,13.2,7.6,20.6,236.3,47.2,30.5,12-08-2024,01-01-2025,142,0.71
IND00084,Punjab,Alluvial,Pulses,29.5,6.4,32.7,199.3,84,2.8,09-12-2024,28-03-2025,109,0.75
IND00085,Odisha,Alluvial,Pulses,33.3,6.6,30.6,148.8,57.6,19.3,16-03-2024,29-07-2024,135,0.86
IND00086,West Bengal,Alluvial,Maize,27.9,7.8,37.5,106.7,53.5,29.4,04-04-2024,10-08-2024,128,0.64
IND00087,Karnataka,Laterite,Groundnut,37,6.4,25.4,146.7,49.3,30.9,18-02-2024,20-07-2024,153,0.45
IND00088,Rajasthan,Alluvial,Rice,33.4,7.5,36.7,29,43.3,26.5,15-12-2024,21-05-2025,157,0.36
IND00089,Karnataka,Laterite,Groundnut,40.7,7.1,36.9,148.2,50.2,0,08-10-2024,18-02-2025,133,0.64
IND00090,Tamil Nadu,Laterite,Rice,31.7,7.5,37.6,92.2,50.3,38,23-07-2024,08-12-2024,138,0.79
IND00091,Odisha,Alluvial,Wheat,18.3,6.7,34.8,21.1,87.9,25.5,14-03-2024,23-07-2024,131,0.77
IND00092,Kerala,Laterite,Groundnut,25.2,7.5,32.1,186.9,83.9,33,13-01-2024,13-05-2024,121,0.66
IND00093,Kerala,Laterite,Groundnut,15.2,6.7,18.2,276.5,45.1,22.5,01-01-2024,07-04-2024,97,0.41
IND00094,Gujarat,Alluvial,Sugarcane,44.4,7.7,21.4,288.2,46.9,7.5,16-09-2024,14-12-2024,89,0.69
IND00095,Haryana,Alluvial,Pulses,44.6,6.2,20.4,24,84.5,25,08-05-2024,15-09-2024,130,0.45
IND00096,Kerala,Laterite,Rice,14.1,7.8,25.1,163.6,70.6,22.5,18-05-2024,10-09-2024,115,0.42
IND00097,West Bengal,Alluvial,Wheat,42.3,6.7,26.3,173.1,54.6,0,11-05-2024,30-08-2024,111,0.64
