crop_type,soil_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,NDVI_index,region,recommended_irrigation_mm
Rice,Alluvial soil,69.3,6.91,26.01,204.56,83.98,0.645,Karnataka,140.46
Mustard,Black soil,46.93,6.43,22.47,151.85,64.49,0.727,Maharashtra,0
Garlic,Black soil,68.08,6.6,29.87,219.9,66.34,0.801,Madhya Pradesh,0
Pumpkin,Forest and Mountain soil,68.04,7.18,27.07,243.59,66.48,0.723,Uttar Pradesh,0
Chilli,Black soil,44.45,7.33,26.44,189,77.2,0.788,Karnataka,80.8
Rice,Forest and Mountain soil,89.58,6.32,26.41,225.94,80.86,0.765,Madhya Pradesh,0
Cabbage,Forest and Mountain soil,75.69,7.71,23.63,251.23,92.1,0.792,Punjab,0
Garlic,Red and Yellow soil,72.28,6.87,18.47,301.82,88.05,0.746,Bihar,0
Cauliflower,Alluvial soil,80.07,6.38,19.85,243.45,91.31,0.686,Haryana,0
Onion,Black soil,80.75,6.54,21.31,235.01,92.98,0.91,Gujarat,0
Lentil,Alluvial soil,35.82,6.63,18.01,97.38,71.11,0.508,Madhya Pradesh,56.12
Soybean,Black soil,46.22,7.36,32.42,95.21,51.34,0.678,Karnataka,90.34
Cucumber,Alluvial soil,63.57,6.32,25.2,106.77,70.82,0.9,Maharashtra,104.27
Groundnut,Black soil,45.01,6.75,25.08,128.53,68.19,0.87,Haryana,0
Rice,Red and Yellow soil,50,6.39,27.06,291.05,79.17,0.658,Karnataka,172.97
Mustard,Alluvial soil,37.31,7.77,20.88,37.99,34.84,0.569,Madhya Pradesh,62.71
Lentil,Alluvial soil,45.31,7.28,21.94,89.61,39.2,0.587,Punjab,54.1
Cabbage,Red and Yellow soil,70.7,7.21,26.09,266.57,89.04,0.726,West Bengal,0
Pumpkin,Black soil,69.91,7.08,23.92,159.31,79.6,0.833,Bihar,0
Lentil,Alluvial soil,58.33,6.33,27.2,128.06,70.03,0.731,Maharashtra,0
Maize,Red and Yellow soil,55.43,6.37,19.07,88.47,74.96,0.801,Maharashtra,0
Pumpkin,Black soil,60.74,6.33,27.2,150.2,75.54,0.694,Gujarat,0
Onion,Black soil,62.37,7.6,25.87,215.66,84.31,0.9,Gujarat,0
Garlic,Red and Yellow soil,49.38,6.43,22.84,77.7,55.34,0.629,Haryana,102.28
Maize,Red and Yellow soil,39.08,6.51,28.94,108.39,69.29,0.69,Tamil Nadu,135.01
Chickpea,Alluvial soil,51.28,6.87,22.57,71.53,56.79,0.744,Gujarat,34.63
